    ITER        TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
     470   4.700E+03     0.0279   1.000E+01   0.0000   0.0400   3.369E-16   5.19195290E-14   3.29016845E-26   2.98181377E+02
     480   4.800E+03     0.0263   1.000E+01   0.0000   0.0398   3.167E-16   5.08512248E-14   3.16053309E-26   2.98179927E+02
     490   4.900E+03     0.0256   1.000E+01   0.0000   0.0397   3.220E-16   2.74040047E-14   2.88541764E-26   2.98178477E+02
     500   5.000E+03     0.0285   1.000E+01   0.0000   0.0395   3.388E-16   3.84744035E-14   3.07311247E-26   2.98177028E+02
     510   5.100E+03     0.0256   1.000E+01   0.0000   0.0394   3.401E-16   3.16923441E-14   3.16567274E-26   2.98175580E+02
     520   5.200E+03     0.0258   1.000E+01   0.0000   0.0392   3.620E-16   5.17947824E-14   3.19562127E-26   2.98174131E+02
     530   5.300E+03     0.0255   1.000E+01   0.0000   0.0391   3.314E-16   4.82829128E-14   3.46192452E-26   2.98172683E+02
     540   5.400E+03     0.0255   1.000E+01   0.0000   0.0390   3.248E-16   3.95558270E-14   3.43500414E-26   2.98171236E+02
     550   5.500E+03     0.0255   1.000E+01   0.0000   0.0388   3.161E-16   5.86708812E-14   3.43969115E-26   2.98169789E+02
     560   5.600E+03     0.0289   1.000E+01   0.0000   0.0387   3.529E-16   6.29044676E-14   3.57481297E-26   2.98168342E+02
     570   5.700E+03     0.0255   1.000E+01   0.0000   0.0386   3.383E-16   6.59652656E-14   3.38275510E-26   2.98166895E+02
     580   5.800E+03     0.0255   1.000E+01   0.0000   0.0384   3.655E-16   6.27617272E-14   3.41372379E-26   2.98165449E+02
     590   5.900E+03     0.0255   1.000E+01   0.0000   0.0383   3.649E-16   7.31342622E-14   3.63201902E-26   2.98164003E+02
     600   6.000E+03     0.0268   1.000E+01   0.0000   0.0382   3.445E-16   6.82781424E-14   3.96371055E-26   2.98162558E+02
     610   6.100E+03     0.0255   1.000E+01   0.0000   0.0380   3.418E-16   5.80217283E-14   3.81138769E-26   2.98161113E+02
     620   6.200E+03     0.0255   1.000E+01   0.0000   0.0379   3.264E-16   5.58376694E-14   4.05433577E-26   2.98159668E+02
     630   6.300E+03     0.0267   1.000E+01   0.0000   0.0378   3.443E-16   5.81605712E-14   3.81426794E-26   2.98158224E+02
     640   6.400E+03     0.0274   1.000E+01   0.0000   0.0377   3.302E-16   8.28570735E-14   3.96865915E-26   2.98156779E+02
     650   6.500E+03     0.0255   1.000E+01   0.0000   0.0376   3.678E-16   9.06145593E-14   4.24875648E-26   2.98155336E+02
     660   6.600E+03     0.0255   1.000E+01   0.0000   0.0374   3.684E-16   7.77237962E-14   4.20027108E-26   2.98153892E+02
     670   6.700E+03     0.0283   1.000E+01   0.0000   0.0373   3.440E-16   7.61152760E-14   4.21472208E-26   2.98152449E+02
     680   6.800E+03     0.0266   1.000E+01   0.0000   0.0372   3.126E-16   8.96116540E-14   4.36734684E-26   2.98151006E+02
     690   6.900E+03     0.0255   1.000E+01   0.0000   0.0371   3.032E-16   8.32619420E-14   4.28668844E-26   2.98149563E+02
     700   7.000E+03     0.0255   1.000E+01   0.0000   0.0370   3.171E-16   9.40620483E-14   4.65655720E-26   2.98148121E+02
     710   7.100E+03     0.0285   1.000E+01   0.0000   0.0369   3.512E-16   9.40710162E-14   4.36224871E-26   2.98146679E+02
     720   7.200E+03     0.0296   1.000E+01   0.0000   0.0367   3.236E-16   9.09378450E-14   4.76941025E-26   2.98145238E+02
     730   7.300E+03     0.0285   1.000E+01   0.0000   0.0366   3.346E-16   1.02598283E-13   5.01337609E-26   2.98143796E+02
     740   7.400E+03     0.0321   1.000E+01   0.0000   0.0365   3.412E-16   1.11161787E-13   5.40069177E-26   2.98142355E+02
     750   7.500E+03     0.0298   1.000E+01   0.0000   0.0364   3.481E-16   1.21964090E-13   5.81043276E-26   2.98140914E+02
     760   7.600E+03     0.0277   1.000E+01   0.0000   0.0363   3.360E-16   9.89536329E-14   5.82669028E-26   2.98139474E+02
     770   7.700E+03     0.0287   1.000E+01   0.0000   0.0362   3.254E-16   8.85355116E-14   5.70136021E-26   2.98138033E+02
     780   7.800E+03     0.0287   1.000E+01   0.0000   0.0361   3.179E-16   8.22162937E-14   5.88804242E-26   2.98136593E+02
     790   7.900E+03     0.0255   1.000E+01   0.0000   0.0360   3.402E-16   7.77634714E-14   6.37474559E-26   2.98135154E+02
     800   8.000E+03     0.0255   1.000E+01   0.0000   0.0359   3.548E-16   7.30370858E-14   6.09232468E-26   2.98133714E+02
     810   8.100E+03     0.0255   1.000E+01   0.0000   0.0358   3.472E-16   7.11036664E-14   6.13344219E-26   2.98132275E+02
     820   8.200E+03     0.0257   1.000E+01   0.0000   0.0357   3.127E-16   7.36201821E-14   6.14894595E-26   2.98130836E+02
     830   8.300E+03     0.0255   1.000E+01   0.0000   0.0356   3.588E-16   6.79262326E-14   5.99462481E-26   2.98129398E+02
     840   8.400E+03     0.0255   1.000E+01   0.0000   0.0355   3.363E-16   5.99177291E-14   5.80356625E-26   2.98127959E+02
     850   8.500E+03     0.0291   1.000E+01   0.0000   0.0354   3.379E-16   5.94635206E-14   5.88307946E-26   2.98126521E+02
     860   8.600E+03     0.0472   1.000E+01   0.0000   0.0353   3.446E-16   5.83986506E-14   6.33231175E-26   2.98125083E+02
     870   8.700E+03     0.0418   1.000E+01   0.0000   0.0352   3.507E-16   5.57450504E-14   6.50207964E-26   2.98123646E+02
     880   8.800E+03     0.0387   1.000E+01   0.0000   0.0351   3.069E-16   4.42825675E-14   6.35131561E-26   2.98122208E+02
     890   8.900E+03     0.0367   1.000E+01   0.0000   0.0350   3.856E-16   4.21110873E-14   6.71546803E-26   2.98120771E+02
     900   9.000E+03     0.0254   1.000E+01   0.0000   0.0349   3.529E-16   3.39307778E-14   6.61231930E-26   2.98119334E+02
     910   9.100E+03     0.0287   1.000E+01   0.0000   0.0348   3.408E-16   2.84620063E-14   6.13664943E-26   2.98117898E+02
     920   9.200E+03     0.0257   1.000E+01   0.0000   0.0347   3.552E-16   1.60356898E-14   5.97810307E-26   2.98116461E+02
     930   9.300E+03     0.0255   1.000E+01   0.0000   0.0346   3.281E-16   3.68451688E-14   6.76082378E-26   2.98115025E+02
     940   9.400E+03     0.0255   1.000E+01   0.0000   0.0345   3.258E-16   4.23369925E-14   7.05112576E-26   2.98113589E+02
     950   9.500E+03     0.0256   1.000E+01   0.0000   0.0344   3.349E-16   5.10549200E-14   6.67739688E-26   2.98112154E+02
     960   9.600E+03     0.0286   1.000E+01   0.0000   0.0343   3.567E-16   3.97960884E-14   6.84951410E-26   2.98110718E+02
     970   9.700E+03     0.0255   1.000E+01   0.0000   0.0342   3.575E-16   3.99811821E-14   7.27416701E-26   2.98109283E+02
     980   9.800E+03     0.0256   1.000E+01   0.0000   0.0342   3.390E-16   4.29413120E-14   7.18725096E-26   2.98107848E+02
     990   9.900E+03     0.0255   1.000E+01   0.0000   0.0341   3.262E-16   3.63570570E-14   7.30568092E-26   2.98106413E+02
    1000   1.000E+04     0.0256   1.000E+01   0.0000   0.0340   3.681E-16   3.66397200E-14   7.39228811E-26   2.98104979E+02
    1010   1.010E+04     0.0255   1.000E+01   0.0000   0.0339   3.632E-16   5.00530078E-14   7.92681253E-26   2.98103545E+02
    1020   1.020E+04     0.0256   1.000E+01   0.0000   0.0338   3.503E-16   4.94058418E-14   8.40026391E-26   2.98102111E+02
    1030   1.030E+04     0.0255   1.000E+01   0.0000   0.0337   3.486E-16   4.78254402E-14   8.38914466E-26   2.98100677E+02
    1040   1.040E+04     0.0257   1.000E+01   0.0000   0.0336   3.408E-16   5.09314511E-14   8.26017243E-26   2.98099243E+02
    1050   1.050E+04     0.0255   1.000E+01   0.0000   0.0336   3.409E-16   3.11699306E-14   8.61648948E-26   2.98097810E+02
    1060   1.060E+04     0.0255   1.000E+01   0.0000   0.0335   3.454E-16   2.09782904E-14   8.42901012E-26   2.98096377E+02
    1070   1.070E+04     0.0255   1.000E+01   0.0000   0.0334   3.533E-16   4.76854820E-15   8.83077524E-26   2.98094944E+02
    1080   1.080E+04     0.0256   1.000E+01   0.0000   0.0333   3.720E-16  -1.99882128E-14   8.55748035E-26   2.98093511E+02
    1090   1.090E+04     0.0282   1.000E+01   0.0000   0.0332   3.448E-16  -2.37213537E-14   8.41387002E-26   2.98092079E+02
    1100   1.100E+04     0.0273   1.000E+01   0.0000   0.0332   3.780E-16  -2.90580190E-14   8.60213937E-26   2.98090646E+02
    1110   1.110E+04     0.0290   1.000E+01   0.0000   0.0331   3.187E-16  -6.03502635E-14   8.85286741E-26   2.98089214E+02
    1120   1.120E+04     0.0267   1.000E+01   0.0000   0.0330   3.725E-16  -5.16062699E-14   8.67217941E-26   2.98087783E+02
    1130   1.130E+04     0.0257   1.000E+01   0.0000   0.0329   3.421E-16  -6.07443441E-14   9.00845861E-26   2.98086351E+02
    1140   1.140E+04     0.0303   1.000E+01   0.0000   0.0329   3.220E-16  -6.14246072E-14   8.80954773E-26   2.98084920E+02
    1150   1.150E+04     0.0256   1.000E+01   0.0000   0.0328   3.136E-16  -6.16263135E-14   9.02043896E-26   2.98083488E+02
    1160   1.160E+04     0.0287   1.000E+01   0.0000   0.0327   3.464E-16  -4.95992204E-14   9.39636740E-26   2.98082058E+02
    1170   1.170E+04     0.0257   1.000E+01   0.0000   0.0326   3.140E-16  -6.06609811E-14   1.00920128E-25   2.98080627E+02
    1180   1.180E+04     0.0256   1.000E+01   0.0000   0.0326   3.536E-16  -4.54843766E-14   1.03636480E-25   2.98079196E+02
    1190   1.190E+04     0.0255   1.000E+01   0.0000   0.0325   3.590E-16  -2.82805340E-14   1.07677378E-25   2.98077766E+02
    1200   1.200E+04     0.0257   1.000E+01   0.0000   0.0324   3.415E-16  -2.73470792E-14   1.11140383E-25   2.98076336E+02
    1210   1.210E+04     0.0256   1.000E+01   0.0000   0.0323   3.094E-16  -2.86305643E-14   1.07955867E-25   2.98074906E+02
    1220   1.220E+04     0.0255   1.000E+01   0.0000   0.0323   3.696E-16  -1.87493747E-14   1.05063232E-25   2.98073476E+02
    1230   1.230E+04     0.0255   1.000E+01   0.0000   0.0322   3.614E-16  -6.78701410E-15   1.02148582E-25   2.98072047E+02
    1240   1.240E+04     0.0257   1.000E+01   0.0000   0.0321   3.390E-16   5.20859142E-15   9.66186598E-26   2.98070618E+02
    1250   1.250E+04     0.0256   1.000E+01   0.0000   0.0321   3.500E-16   3.13342470E-15   9.49260749E-26   2.98069189E+02
    1260   1.260E+04     0.0256   1.000E+01   0.0000   0.0320   3.593E-16   8.57308198E-15   9.50672714E-26   2.98067760E+02
    1270   1.270E+04     0.0265   1.000E+01   0.0000   0.0319   3.334E-16  -6.65155665E-15   9.20201828E-26   2.98066331E+02
    1280   1.280E+04     0.0280   1.000E+01   0.0000   0.0318   3.637E-16  -2.63308066E-14   9.39480811E-26   2.98064903E+02
    1290   1.290E+04     0.0256   1.000E+01   0.0000   0.0318   3.425E-16  -3.09423428E-14   9.61531445E-26   2.98063475E+02
    1300   1.300E+04     0.0255   1.000E+01   0.0000   0.0317   3.827E-16  -3.78065925E-14   9.89829240E-26   2.98062047E+02
    1310   1.310E+04     0.0255   1.000E+01   0.0000   0.0316   4.056E-16  -5.31274773E-14   9.35202778E-26   2.98060619E+02
    1320   1.320E+04     0.0287   1.000E+01   0.0000   0.0316   3.460E-16  -3.87485958E-14   9.53305242E-26   2.98059191E+02
    1330   1.330E+04     0.0285   1.000E+01   0.0000   0.0315   3.234E-16  -2.85339559E-14   9.10849482E-26   2.98057764E+02
    1340   1.340E+04     0.0255   1.000E+01   0.0000   0.0314   3.329E-16  -1.99585639E-14   9.47185096E-26   2.98056337E+02
    1350   1.350E+04     0.0255   1.000E+01   0.0000   0.0314   3.600E-16  -3.95134665E-14   9.40572184E-26   2.98054910E+02
    1360   1.360E+04     0.0257   1.000E+01   0.0000   0.0313   3.567E-16  -3.23836831E-14   9.54420840E-26   2.98053483E+02
    1370   1.370E+04     0.0255   1.000E+01   0.0000   0.0313   3.557E-16  -5.29597353E-14   9.37521251E-26   2.98052057E+02
    1380   1.380E+04     0.0255   1.000E+01   0.0000   0.0312   3.559E-16  -5.71822389E-14   9.26999471E-26   2.98050630E+02
    1390   1.390E+04     0.0255   1.000E+01   0.0000   0.0311   4.697E-16  -3.78759206E-14   9.16019725E-26   2.98049204E+02
    1400   1.400E+04     0.0257   1.000E+01   0.0000   0.0311   3.673E-16  -3.66214109E-14   9.11688565E-26   2.98047779E+02
    1410   1.410E+04     0.0255   1.000E+01   0.0000   0.0310   4.137E-16  -4.08104960E-14   8.90777659E-26   2.98046353E+02
    1420   1.420E+04     0.0255   1.000E+01   0.0000   0.0309   3.358E-16  -5.62003649E-14   9.04538056E-26   2.98044927E+02
    1430   1.430E+04     0.0256   1.000E+01   0.0000   0.0309   3.433E-16  -4.41101884E-14   9.07480107E-26   2.98043502E+02
    1440   1.440E+04     0.0295   1.000E+01   0.0000   0.0308   3.383E-16  -4.41266696E-14   9.20711223E-26   2.98042077E+02
    1450   1.450E+04     0.0286   1.000E+01   0.0000   0.0308   3.315E-16  -3.02368167E-14   8.88894173E-26   2.98040652E+02
    1460   1.460E+04     0.0288   1.000E+01   0.0000   0.0307   3.710E-16  -3.05110880E-14   8.83655556E-26   2.98039228E+02
    1470   1.470E+04     0.0265   1.000E+01   0.0000   0.0306   3.774E-16  -1.91969841E-14   8.66655264E-26   2.98037803E+02
    1480   1.480E+04     0.0277   1.000E+01   0.0000   0.0306   3.400E-16  -1.27607263E-14   8.64699993E-26   2.98036379E+02
    1490   1.490E+04     0.0293   1.000E+01   0.0000   0.0305   3.798E-16  -2.62903527E-14   8.53888425E-26   2.98034955E+02
    1500   1.500E+04     0.0256   1.000E+01   0.0000   0.0305   3.825E-16  -2.81293964E-14   8.59514664E-26   2.98033532E+02
    1510   1.510E+04     0.0257   1.000E+01   0.0000   0.0304   3.850E-16  -3.51666842E-14   9.00791774E-26   2.98032108E+02
    1520   1.520E+04     0.0257   1.000E+01   0.0000   0.0304   3.469E-16  -2.10472749E-14   9.04010571E-26   2.98030685E+02
    1530   1.530E+04     0.0255   1.000E+01   0.0000   0.0303   3.675E-16  -2.71325675E-14   9.16562603E-26   2.98029262E+02
    1540   1.540E+04     0.0255   1.000E+01   0.0000   0.0302   3.604E-16  -3.87880182E-14   9.32701822E-26   2.98027839E+02
    1550   1.550E+04     0.0289   1.000E+01   0.0000   0.0302   3.577E-16  -4.27296806E-14   9.10735922E-26   2.98026416E+02
    1560   1.560E+04     0.0255   1.000E+01   0.0000   0.0301   3.547E-16  -4.45213610E-14   9.30909999E-26   2.98024994E+02
    1570   1.570E+04     0.0255   1.000E+01   0.0000   0.0301   3.659E-16  -3.82620962E-14   9.30074288E-26   2.98023571E+02
    1580   1.580E+04     0.0255   1.000E+01   0.0000   0.0300   3.590E-16  -3.79591517E-14   9.58615631E-26   2.98022149E+02
    1590   1.590E+04     0.0257   1.000E+01   0.0000   0.0300   3.586E-16  -5.70198676E-14   9.96471746E-26   2.98020728E+02
    1600   1.600E+04     0.0256   1.000E+01   0.0000   0.0299   3.441E-16  -5.34368266E-14   1.00224916E-25   2.98019306E+02
    1610   1.610E+04     0.0256   1.000E+01   0.0000   0.0299   3.938E-16  -4.81514842E-14   1.00318860E-25   2.98017885E+02
    1620   1.620E+04     0.0255   1.000E+01   0.0000   0.0298   3.551E-16  -4.72909080E-14   1.00859327E-25   2.98016463E+02
    1630   1.630E+04     0.0258   1.000E+01   0.0000   0.0297   3.654E-16  -6.02452317E-14   1.01898542E-25   2.98015043E+02
    1640   1.640E+04     0.0255   1.000E+01   0.0000   0.0297   3.726E-16  -5.23599591E-14   1.07183578E-25   2.98013622E+02
    1650   1.650E+04     0.0254   1.000E+01   0.0000   0.0296   3.339E-16  -7.04221894E-14   1.07822145E-25   2.98012201E+02
    1660   1.660E+04     0.0254   1.000E+01   0.0000   0.0296   3.729E-16  -8.52470445E-14   1.10388602E-25   2.98010781E+02
    1670   1.670E+04     0.0257   1.000E+01   0.0000   0.0295   3.416E-16  -8.13773172E-14   1.06737274E-25   2.98009361E+02
    1680   1.680E+04     0.0255   1.000E+01   0.0000   0.0295   3.576E-16  -8.48928964E-14   1.10426489E-25   2.98007941E+02
    1690   1.690E+04     0.0286   1.000E+01   0.0000   0.0294   3.487E-16  -8.61043982E-14   1.12275112E-25   2.98006522E+02
    1700   1.700E+04     0.0254   1.000E+01   0.0000   0.0294   3.327E-16  -8.70381224E-14   1.15622434E-25   2.98005102E+02
    1710   1.710E+04     0.0257   1.000E+01   0.0000   0.0293   4.010E-16  -8.43272555E-14   1.16553969E-25   2.98003683E+02
    1720   1.720E+04     0.0255   1.000E+01   0.0000   0.0293   3.511E-16  -8.88729775E-14   1.16053963E-25   2.98002264E+02
    1730   1.730E+04     0.0255   1.000E+01   0.0000   0.0292   3.490E-16  -6.54910770E-14   1.16198532E-25   2.98000846E+02
    1740   1.740E+04     0.0255   1.000E+01   0.0000   0.0292   3.857E-16  -6.34948705E-14   1.15067621E-25   2.97999427E+02
    1750   1.750E+04     0.0284   1.000E+01   0.0000   0.0291   3.553E-16  -6.77797081E-14   1.17742102E-25   2.97998009E+02
    1760   1.760E+04     0.0256   1.000E+01   0.0000   0.0291   3.221E-16  -7.96853073E-14   1.18127862E-25   2.97996591E+02
    1770   1.770E+04     0.0256   1.000E+01   0.0000   0.0290   3.617E-16  -9.64884860E-14   1.21914471E-25   2.97995173E+02
    1780   1.780E+04     0.0256   1.000E+01   0.0000   0.0290   3.668E-16  -7.97968285E-14   1.21947652E-25   2.97993755E+02
    1790   1.790E+04     0.0257   1.000E+01   0.0000   0.0289   3.919E-16  -7.89771465E-14   1.20881326E-25   2.97992338E+02
    1800   1.800E+04     0.0255   1.000E+01   0.0000   0.0289   3.884E-16  -8.13596297E-14   1.21042703E-25   2.97990921E+02
    1810   1.810E+04     0.0281   1.000E+01   0.0000   0.0288   3.487E-16  -9.88913343E-14   1.20686485E-25   2.97989504E+02
    1820   1.820E+04     0.0278   1.000E+01   0.0000   0.0288   3.573E-16  -1.01824152E-13   1.18439421E-25   2.97988088E+02
    1830   1.830E+04     0.0258   1.000E+01   0.0000   0.0288   4.038E-16  -9.30511650E-14   1.18658400E-25   2.97986671E+02
    1840   1.840E+04     0.0255   1.000E+01   0.0000   0.0287   3.737E-16  -8.64459860E-14   1.20243786E-25   2.97985255E+02
    1850   1.850E+04     0.0280   1.000E+01   0.0000   0.0287   3.913E-16  -7.44550810E-14   1.16736128E-25   2.97983839E+02
    1860   1.860E+04     0.0277   1.000E+01   0.0000   0.0286   3.533E-16  -6.49543366E-14   1.15986621E-25   2.97982423E+02
    1870   1.870E+04     0.0256   1.000E+01   0.0000   0.0286   3.302E-16  -7.24921235E-14   1.17195421E-25   2.97981008E+02
    1880   1.880E+04     0.0255   1.000E+01   0.0000   0.0285   3.399E-16  -7.13660996E-14   1.18999949E-25   2.97979593E+02
    1890   1.890E+04     0.0255   1.000E+01   0.0000   0.0285   3.363E-16  -7.13084139E-14   1.19849269E-25   2.97978178E+02
    1900   1.900E+04     0.0289   1.000E+01   0.0000   0.0284   3.747E-16  -7.42852871E-14   1.19995760E-25   2.97976763E+02
    1910   1.910E+04     0.0256   1.000E+01   0.0000   0.0284   3.558E-16  -7.31178969E-14   1.20967027E-25   2.97975348E+02
    1920   1.920E+04     0.0255   1.000E+01   0.0000   0.0283   3.735E-16  -6.61094175E-14   1.19134568E-25   2.97973934E+02
