    ITER        TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
     940   9.756E+02     1.9081   1.036E+00   1.0001   0.0094   1.906E-15   1.42765769E+01   1.03306724E+02   2.31489263E+02
     960   9.963E+02     1.9027   1.036E+00   1.0000   0.0093   2.010E-15   1.42693904E+01   1.03210581E+02   2.31481411E+02
     980   1.017E+03     1.9076   1.037E+00   0.9999   0.0093   1.801E-15   1.42623266E+01   1.03116042E+02   2.31473556E+02
    1000   1.038E+03     1.8989   1.034E+00   1.0001   0.0092   1.950E-15   1.42553905E+01   1.03023235E+02   2.31465712E+02
    1020   1.058E+03     1.8827   1.033E+00   1.0000   0.0091   2.071E-15   1.42485850E+01   1.02931567E+02   2.31457894E+02
    1040   1.079E+03     1.8896   1.017E+00   0.9984   0.0090   1.872E-15   1.42419355E+01   1.02838754E+02   2.31450143E+02
    1060   1.099E+03     1.9160   1.015E+00   0.9991   0.0091   2.017E-15   1.42354352E+01   1.02747625E+02   2.31442461E+02
    1080   1.120E+03     1.8790   1.010E+00   1.0004   0.0093   1.963E-15   1.42290690E+01   1.02658445E+02   2.31434840E+02
    1100   1.140E+03     1.8792   1.006E+00   1.0004   0.0099   2.067E-15   1.42228401E+01   1.02570997E+02   2.31427292E+02
    1120   1.160E+03     1.8986   1.013E+00   0.9995   0.0096   1.656E-15   1.42167024E+01   1.02484680E+02   2.31419765E+02
    1140   1.180E+03     1.8759   1.003E+00   1.0000   0.0094   1.974E-15   1.42106505E+01   1.02399490E+02   2.31412250E+02
    1160   1.200E+03     1.9009   8.438E-01   0.8416   0.0082   1.571E-15   1.42047851E+01   1.02316785E+02   2.31404872E+02
    1180   1.220E+03     2.4843   1.003E+00   0.9990   0.0096   2.111E-15   1.41989779E+01   1.02234712E+02   2.31397485E+02
    1200   1.240E+03     1.8960   1.001E+00   1.0011   0.0093   1.832E-15   1.41932449E+01   1.02153521E+02   2.31390087E+02
    1220   1.260E+03     1.8982   9.943E-01   0.9985   0.0096   2.061E-15   1.41876749E+01   1.02074495E+02   2.31382793E+02
    1240   1.280E+03     1.8915   9.945E-01   1.0003   0.0094   2.220E-15   1.41821802E+01   1.01996353E+02   2.31375488E+02
    1260   1.300E+03     1.8915   1.001E+00   0.9991   0.0088   1.934E-15   1.41767656E+01   1.01919148E+02   2.31368182E+02
    1280   1.320E+03     1.9041   9.963E-01   1.0014   0.0088   2.049E-15   1.41714292E+01   1.01842674E+02   2.31360873E+02
    1300   1.340E+03     1.8982   9.843E-01   1.0017   0.0091   1.978E-15   1.41662203E+01   1.01767305E+02   2.31353636E+02
    1320   1.359E+03     1.8772   9.784E-01   1.0013   0.0094   1.879E-15   1.41611533E+01   1.01693084E+02   2.31346499E+02
    1340   1.379E+03     1.9017   9.835E-01   1.0004   0.0101   1.936E-15   1.41561467E+01   1.01618621E+02   2.31339354E+02
    1360   1.398E+03     1.8774   9.715E-01   1.0012   0.0105   1.943E-15   1.41512131E+01   1.01544056E+02   2.31332224E+02
    1380   1.418E+03     1.8925   9.678E-01   0.9978   0.0112   1.794E-15   1.41464161E+01   1.01470428E+02   2.31325207E+02
    1400   1.437E+03     1.8923   9.707E-01   0.9983   0.0113   1.833E-15   1.41416531E+01   1.01396336E+02   2.31318159E+02
    1420   1.456E+03     1.8843   9.540E-01   1.0003   0.0113   1.765E-15   1.41369833E+01   1.01323160E+02   2.31311174E+02
    1440   1.476E+03     1.8896   9.587E-01   1.0042   0.0136   1.932E-15   1.41324181E+01   1.01251154E+02   2.31304280E+02
    1460   1.495E+03     1.8768   9.495E-01   0.9995   0.0136   1.885E-15   1.41278936E+01   1.01179244E+02   2.31297387E+02
    1480   1.513E+03     2.0635   9.487E-01   0.9987   0.0119   2.062E-15   1.41235054E+01   1.01109009E+02   2.31290644E+02
    1500   1.532E+03     1.9114   9.495E-01   1.0008   0.0122   1.762E-15   1.41190765E+01   1.01037438E+02   2.31283783E+02
    1520   1.551E+03     1.8958   9.305E-01   1.0009   0.0116   1.962E-15   1.41147753E+01   1.00967517E+02   2.31277072E+02
    1540   1.570E+03     1.9034   9.359E-01   1.0029   0.0123   1.932E-15   1.41105306E+01   1.00898318E+02   2.31270405E+02
    1560   1.589E+03     1.9886   9.461E-01   0.9998   0.0125   1.974E-15   1.41062697E+01   1.00828682E+02   2.31263674E+02
    1580   1.607E+03     2.0043   9.353E-01   0.9933   0.0124   2.176E-15   1.41020669E+01   1.00759734E+02   2.31257001E+02
    1600   1.626E+03     2.8484   9.077E-01   0.9921   0.0117   1.901E-15   1.40979056E+01   1.00691335E+02   2.31250364E+02
    1620   1.644E+03     3.3757   9.080E-01   0.9991   0.0122   1.899E-15   1.40938132E+01   1.00623818E+02   2.31243811E+02
    1640   1.663E+03     2.5559   9.292E-01   1.0033   0.0124   1.668E-15   1.40897303E+01   1.00556205E+02   2.31237245E+02
    1660   1.681E+03     2.1153   9.176E-01   0.9998   0.0125   1.923E-15   1.40856956E+01   1.00489111E+02   2.31230726E+02
    1680   1.700E+03     2.0478   9.206E-01   1.0009   0.0129   1.748E-15   1.40816713E+01   1.00421901E+02   2.31224187E+02
    1700   1.718E+03     2.0170   9.179E-01   0.9992   0.0140   1.898E-15   1.40777044E+01   1.00355223E+02   2.31217701E+02
    1720   1.736E+03     1.9239   9.255E-01   1.0091   0.0131   1.769E-15   1.40737309E+01   1.00288031E+02   2.31211168E+02
    1740   1.755E+03     1.9235   9.213E-01   1.0001   0.0134   1.935E-15   1.40698117E+01   1.00221667E+02   2.31204691E+02
    1760   1.773E+03     1.9453   9.301E-01   1.0007   0.0136   1.879E-15   1.40658840E+01   1.00155068E+02   2.31198169E+02
    1780   1.792E+03     1.9377   9.226E-01   1.0038   0.0137   1.926E-15   1.40619785E+01   1.00088622E+02   2.31191650E+02
    1800   1.809E+03     2.5945   9.192E-01   1.0002   0.0129   1.718E-15   1.40583144E+01   1.00026130E+02   2.31185518E+02
    1820   1.828E+03     2.0077   9.306E-01   0.9995   0.0128   1.714E-15   1.40544318E+01   9.99597757E+01   2.31178997E+02
    1840   1.846E+03     1.9863   9.212E-01   1.0001   0.0132   1.917E-15   1.40506064E+01   9.98943776E+01   2.31172526E+02
    1860   1.865E+03     2.0032   9.139E-01   0.9981   0.0124   1.818E-15   1.40468312E+01   9.98298360E+01   2.31166096E+02
    1880   1.883E+03     1.9733   9.146E-01   1.0004   0.0136   1.806E-15   1.40431017E+01   9.97661368E+01   2.31159708E+02
    1900   1.902E+03     1.9666   9.274E-01   0.9987   0.0129   1.716E-15   1.40393663E+01   9.97023989E+01   2.31153276E+02
    1920   1.920E+03     1.9458   9.224E-01   1.0003   0.0125   1.809E-15   1.40356711E+01   9.96393019E+01   2.31146875E+02
    1940   1.938E+03     1.8851   9.202E-01   1.0006   0.0119   1.717E-15   1.40320102E+01   9.95766191E+01   2.31140487E+02
    1960   1.957E+03     1.8875   9.126E-01   1.0053   0.0120   1.951E-15   1.40283886E+01   9.95144240E+01   2.31134128E+02
    1980   1.975E+03     1.8787   9.096E-01   0.9993   0.0118   1.551E-15   1.40248252E+01   9.94531577E+01   2.31127839E+02
    2000   1.993E+03     1.8932   9.006E-01   1.0010   0.0124   1.931E-15   1.40212714E+01   9.93920177E+01   2.31121541E+02
    2020   2.011E+03     1.8692   9.097E-01   0.9974   0.0129   1.919E-15   1.40177275E+01   9.93308649E+01   2.31115237E+02
    2040   2.029E+03     1.8760   8.937E-01   1.0014   0.0129   1.868E-15   1.40142498E+01   9.92705981E+01   2.31109015E+02
    2060   2.047E+03     1.9067   9.163E-01   1.0061   0.0136   1.854E-15   1.40107960E+01   9.92106023E+01   2.31102795E+02
    2080   2.066E+03     2.2832   9.411E-01   1.0049   0.0147   1.834E-15   1.40072721E+01   9.91491694E+01   2.31096412E+02
    2100   2.084E+03     2.8418   9.291E-01   0.9993   0.0144   1.828E-15   1.40037391E+01   9.90872134E+01   2.31089975E+02
    2120   2.103E+03     2.2207   9.166E-01   0.9994   0.0128   1.825E-15   1.40003023E+01   9.90267392E+01   2.31083674E+02
    2140   2.121E+03     2.0564   9.121E-01   0.9991   0.0127   1.887E-15   1.39968818E+01   9.89662756E+01   2.31077363E+02
    2160   2.139E+03     2.0603   9.004E-01   0.9975   0.0129   2.189E-15   1.39935472E+01   9.89071801E+01   2.31071175E+02
    2180   2.157E+03     2.0463   9.173E-01   1.0014   0.0138   1.946E-15   1.39902322E+01   9.88484799E+01   2.31064980E+02
    2200   2.176E+03     2.7695   9.360E-01   1.0054   0.0135   2.033E-15   1.39868640E+01   9.87889016E+01   2.31058642E+02
    2220   2.194E+03     2.2884   9.290E-01   0.9979   0.0130   1.821E-15   1.39834928E+01   9.87291694E+01   2.31052252E+02
    2240   2.213E+03     2.5114   9.222E-01   0.9972   0.0138   1.857E-15   1.39801904E+01   9.86702649E+01   2.31045941E+02
    2260   2.231E+03     2.1984   9.098E-01   1.0050   0.0143   2.082E-15   1.39769321E+01   9.86114718E+01   2.31039665E+02
    2280   2.249E+03     2.3206   9.001E-01   0.9964   0.0137   1.707E-15   1.39737628E+01   9.85537022E+01   2.31033511E+02
    2300   2.267E+03     2.3958   9.063E-01   0.9972   0.0132   1.783E-15   1.39706170E+01   9.84961669E+01   2.31027361E+02
    2320   2.286E+03     1.9561   9.093E-01   1.0064   0.0142   2.312E-15   1.39674615E+01   9.84382773E+01   2.31021163E+02
    2340   2.304E+03     2.0048   9.011E-01   0.9960   0.0121   1.849E-15   1.39643815E+01   9.83817880E+01   2.31015076E+02
    2360   2.322E+03     1.9218   9.017E-01   1.0041   0.0136   2.266E-15   1.39612997E+01   9.83251398E+01   2.31008941E+02
    2380   2.340E+03     2.0203   9.091E-01   0.9973   0.0137   1.880E-15   1.39582533E+01   9.82688382E+01   2.31002830E+02
    2400   2.358E+03     2.3704   9.278E-01   1.0012   0.0137   1.862E-15   1.39551851E+01   9.82117147E+01   2.30996624E+02
    2420   2.377E+03     2.0156   9.212E-01   1.0008   0.0132   1.924E-15   1.39521159E+01   9.81546799E+01   2.30990366E+02
    2440   2.395E+03     1.9125   8.939E-01   0.9964   0.0128   2.033E-15   1.39491287E+01   9.80988738E+01   2.30984228E+02
    2460   2.412E+03     2.5340   8.691E-01   0.9972   0.0121   1.781E-15   1.39462938E+01   9.80456233E+01   2.30978389E+02
    2480   2.430E+03     1.9083   8.715E-01   0.9965   0.0120   2.401E-15   1.39434754E+01   9.79926796E+01   2.30972565E+02
    2500   2.447E+03     1.9167   8.850E-01   0.9918   0.0117   2.028E-15   1.39406439E+01   9.79395837E+01   2.30966690E+02
    2520   2.465E+03     1.9101   9.173E-01   1.0011   0.0129   2.067E-15   1.39377537E+01   9.78852771E+01   2.30960659E+02
    2540   2.484E+03     1.9015   9.132E-01   0.9988   0.0127   2.162E-15   1.39348622E+01   9.78306574E+01   2.30954574E+02
    2560   2.502E+03     1.9403   9.154E-01   0.9986   0.0136   1.975E-15   1.39319965E+01   9.77762800E+01   2.30948474E+02
    2580   2.520E+03     1.9006   9.096E-01   1.0005   0.0136   1.955E-15   1.39291837E+01   9.77223769E+01   2.30942422E+02
    2600   2.538E+03     1.9283   9.070E-01   1.0035   0.0141   1.824E-15   1.39264185E+01   9.76691309E+01   2.30936419E+02
    2620   2.556E+03     1.9999   9.022E-01   0.9956   0.0130   1.651E-15   1.39236845E+01   9.76164774E+01   2.30930436E+02
    2640   2.575E+03     1.9650   9.017E-01   1.0004   0.0121   2.110E-15   1.39209725E+01   9.75641869E+01   2.30924448E+02
    2660   2.592E+03     2.1076   8.928E-01   1.0024   0.0127   2.376E-15   1.39183322E+01   9.75129924E+01   2.30918554E+02
    2680   2.610E+03     2.0430   8.856E-01   1.0013   0.0128   1.927E-15   1.39157346E+01   9.74623103E+01   2.30912689E+02
    2700   2.628E+03     2.0491   8.963E-01   1.0005   0.0134   2.257E-15   1.39131738E+01   9.74120008E+01   2.30906853E+02
    2720   2.646E+03     1.9900   8.830E-01   1.0001   0.0125   2.135E-15   1.39106444E+01   9.73618410E+01   2.30901032E+02
    2740   2.663E+03     1.9554   8.699E-01   1.0003   0.0128   2.114E-15   1.39081814E+01   9.73124438E+01   2.30895295E+02
    2760   2.681E+03     1.9127   8.670E-01   0.9972   0.0123   1.794E-15   1.39057754E+01   9.72635545E+01   2.30889619E+02
    2780   2.698E+03     1.9478   8.683E-01   1.0080   0.0116   2.322E-15   1.39034086E+01   9.72148722E+01   2.30883970E+02
    2800   2.715E+03     2.0577   8.789E-01   0.9995   0.0121   2.005E-15   1.39011463E+01   9.71679741E+01   2.30878519E+02
    2820   2.733E+03     1.9292   8.859E-01   0.9962   0.0128   2.028E-15   1.38987736E+01   9.71184546E+01   2.30872751E+02
    2840   2.750E+03     1.9439   9.018E-01   0.9993   0.0119   1.914E-15   1.38963988E+01   9.70687070E+01   2.30866926E+02
    2860   2.769E+03     1.9379   9.044E-01   0.9986   0.0122   1.965E-15   1.38940234E+01   9.70186599E+01   2.30861050E+02
    2880   2.787E+03     1.9430   9.119E-01   0.9996   0.0117   1.992E-15   1.38916605E+01   9.69687230E+01   2.30855157E+02
    2900   2.805E+03     1.9789   9.177E-01   1.0002   0.0128   2.066E-15   1.38892847E+01   9.69184383E+01   2.30849192E+02
    2920   2.823E+03     1.9480   8.956E-01   0.9937   0.0129   1.919E-15   1.38869712E+01   9.68693636E+01   2.30843345E+02
    2940   2.841E+03     1.9271   9.220E-01   1.0004   0.0140   1.896E-15   1.38846492E+01   9.68198257E+01   2.30837438E+02
    2960   2.860E+03     1.9429   9.117E-01   0.9955   0.0122   2.339E-15   1.38823319E+01   9.67701483E+01   2.30831497E+02
    2980   2.878E+03     1.9185   9.130E-01   0.9988   0.0133   1.797E-15   1.38800481E+01   9.67209228E+01   2.30825589E+02
    3000   2.896E+03     1.9329   9.042E-01   1.0001   0.0137   1.972E-15   1.38778046E+01   9.66722629E+01   2.30819727E+02
    3020   2.914E+03     1.9229   8.874E-01   1.0017   0.0122   2.137E-15   1.38756110E+01   9.66243044E+01   2.30813939E+02
    3040   2.932E+03     1.9569   8.858E-01   1.0072   0.0119   1.834E-15   1.38734682E+01   9.65772349E+01   2.30808229E+02
    3060   2.949E+03     1.9709   8.822E-01   0.9993   0.0114   1.950E-15   1.38713644E+01   9.65306165E+01   2.30802573E+02
    3080   2.967E+03     1.9215   9.085E-01   0.9960   0.0127   2.007E-15   1.38692369E+01   9.64832363E+01   2.30796806E+02
    3100   2.986E+03     1.9360   9.053E-01   1.0066   0.0120   1.922E-15   1.38670863E+01   9.64349826E+01   2.30790925E+02
    3120   3.003E+03     2.5257   9.028E-01   0.9983   0.0130   2.148E-15   1.38650946E+01   9.63900594E+01   2.30785437E+02
    3140   3.021E+03     1.9328   9.169E-01   0.9987   0.0131   1.922E-15   1.38629981E+01   9.63424617E+01   2.30779646E+02
    3160   3.039E+03     1.9400   9.061E-01   1.0021   0.0141   2.009E-15   1.38609122E+01   9.62949310E+01   2.30773837E+02
    3180   3.057E+03     1.9271   8.996E-01   1.0007   0.0123   1.923E-15   1.38588737E+01   9.62482208E+01   2.30768092E+02
    3200   3.075E+03     1.9331   9.173E-01   0.9969   0.0125   1.855E-15   1.38568542E+01   9.62017337E+01   2.30762317E+02
    3220   3.094E+03     1.9511   8.960E-01   0.9990   0.0123   1.984E-15   1.38548492E+01   9.61552268E+01   2.30756500E+02
    3240   3.111E+03     1.9333   8.669E-01   0.9983   0.0126   2.005E-15   1.38529568E+01   9.61109908E+01   2.30750942E+02
    3260   3.129E+03     1.9639   8.939E-01   0.9916   0.0118   2.755E-15   1.38510777E+01   9.60668506E+01   2.30745366E+02
    3280   3.147E+03     1.9195   9.156E-01   0.9973   0.0116   2.031E-15   1.38491543E+01   9.60213798E+01   2.30739611E+02
    3300   3.165E+03     1.9130   8.972E-01   0.9957   0.0127   1.823E-15   1.38472612E+01   9.59762433E+01   2.30733882E+02
    3320   3.183E+03     1.9397   9.156E-01   1.0022   0.0127   2.051E-15   1.38453941E+01   9.59312928E+01   2.30728156E+02
    3340   3.202E+03     1.9646   9.260E-01   0.9971   0.0128   2.044E-15   1.38435303E+01   9.58861334E+01   2.30722363E+02
    3360   3.220E+03     1.9223   9.342E-01   0.9994   0.0134   2.239E-15   1.38416657E+01   9.58404606E+01   2.30716493E+02
    3380   3.239E+03     1.8999   9.425E-01   0.9997   0.0127   2.338E-15   1.38398216E+01   9.57948629E+01   2.30710602E+02
    3400   3.258E+03     1.8746   9.319E-01   0.9994   0.0122   2.735E-15   1.38380132E+01   9.57497367E+01   2.30704738E+02
    3420   3.276E+03     1.8833   9.365E-01   1.0005   0.0130   2.880E-15   1.38362332E+01   9.57049394E+01   2.30698896E+02
    3440   3.295E+03     1.8767   9.304E-01   1.0000   0.0125   3.149E-15   1.38344662E+01   9.56601254E+01   2.30693050E+02
    3460   3.313E+03     2.0483   9.425E-01   0.9991   0.0119   2.703E-15   1.38327731E+01   9.56168650E+01   2.30687401E+02
    3480   3.332E+03     1.8956   9.348E-01   1.0046   0.0126   2.997E-15   1.38310235E+01   9.55716813E+01   2.30681506E+02
    3500   3.351E+03     1.8791   9.223E-01   0.9976   0.0125   3.142E-15   1.38293243E+01   9.55273453E+01   2.30675713E+02
